Link,Name,Mileage,Engine Capacity,Year of manufacture,Fuel type,Price
https://gratka.pl/motoryzacja/seat-ateca-ateca-1-5-tsi-xperience-s-s-dsg-1-5-tsi-150km-xperience-dsg/ob/30720309,SEAT Ateca Ateca 1.5 TSI Xperience S&S DSG 1.5 TSI 150km Xperience DSG,NaN,1498 cm3,2023,benzyna,155 225zł
https://gratka.pl/motoryzacja/seat-arona-style-style-1-0tsi-110km-mt/ob/30720287,SEAT Arona Style Style 1.0TSI 110KM MT,NaN,999 cm3,2023,benzyna,96 525zł
https://gratka.pl/motoryzacja/seat-ateca-style-style-1-5tsi-150km-mt/ob/30720275,SEAT Ateca Style Style 1.5TSI 150KM MT,NaN,1498 cm3,2023,benzyna,134 213zł
https://gratka.pl/motoryzacja/seat-ateca-style-style-1-5tsi-150km-mt/ob/30720255,SEAT Ateca Style Style 1.5TSI 150KM MT,NaN,1498 cm3,2023,benzyna,140 500zł
https://gratka.pl/motoryzacja/seat-ateca-xperience-xperience-1-5-tsi-150-km-dsg/ob/30720239,SEAT Ateca Xperience Xperience 1.5 TSI 150 KM DSG,NaN,1498 cm3,2023,benzyna,159 927zł
https://gratka.pl/motoryzacja/seat-arona-fr-fr-1-0tsi-110km-mt/ob/30720229,SEAT Arona FR FR 1.0TSi 110KM MT,NaN,999 cm3,2022,benzyna,101 000zł
https://gratka.pl/motoryzacja/seat-arona-fr-fr-1-0tsi-110km-mt/ob/30720219,SEAT Arona FR FR 1.0TSi 110KM MT,NaN,999 cm3,2022,benzyna,105 000zł
https://gratka.pl/motoryzacja/seat-arona-style-style-1-0-tsi-110km-dsg/ob/30720213,SEAT Arona Style Style 1.0 TSI 110KM DSG,NaN,999 cm3,2022,benzyna,98 000zł
https://gratka.pl/motoryzacja/seat-arona-style-style-1-0tsi-110km-mt/ob/30720053,SEAT Arona Style Style 1.0TSI 110KM MT,NaN,999 cm3,2022,benzyna,91 000zł
https://gratka.pl/motoryzacja/seat-leon-iii-1-5-tsi-fr-1-5-tsi-fr-130km-mt/ob/30720043,SEAT Leon III 1.5 TSI FR 1.5 TSI FR 130KM MT,NaN,1498 cm3,2023,benzyna,123 181zł
https://gratka.pl/motoryzacja/seat-leon-iii-1-5-tsi-fr-1-5-tsi-fr-130km-mt/ob/30720035,SEAT Leon III 1.5 TSI FR 1.5 TSI FR 130KM MT,NaN,1498 cm3,2023,benzyna,123 181zł
https://gratka.pl/motoryzacja/seat-leon-iii-1-5-tsi-fr-1-5-tsi-fr-130km-mt/ob/30719983,SEAT Leon III 1.5 TSI FR 1.5 TSI FR 130KM MT,NaN,1498 cm3,2022,benzyna,119 900zł
https://gratka.pl/motoryzacja/seat-ateca-fr-fr-1-5tsi-150km-dsg/ob/30719971,SEAT Ateca FR FR 1.5TSi 150KM DSG,NaN,1498 cm3,2023,benzyna,159 000zł
https://gratka.pl/motoryzacja/toyota-proace-long-vip-at-long-vip-at-177km/ob/30719953,Toyota ProAce Long VIP AT Long VIP AT 177KM,NaN,1997 cm3,2023,diesel,"268 753,77zł"
https://gratka.pl/motoryzacja/seat-ateca-fr-fr-1-5-tsi-150km-mt/ob/30719935,SEAT Ateca FR FR 1.5 TSI 150KM MT,NaN,1498 cm3,2023,benzyna,142 000zł
https://gratka.pl/motoryzacja/seat-ateca-xperience-xperience-2-0-tdi-150km-dsg/ob/30719923,SEAT Ateca Xperience Xperience 2.0 TDI 150KM DSG,NaN,1968 cm3,2023,diesel,161 000zł
https://gratka.pl/motoryzacja/cupra-2-0-tsi-4drive-dsg-2-0tsi-190km-dsg-kamera-360-pakiet-wspomagani/ob/30719871,Cupra 2.0 TSI 4Drive DSG 2.0TSI 190KM DSG | Kamera 360 | Pakiet wspomagani,NaN,1984 cm3,2023,benzyna,188 801zł
https://gratka.pl/motoryzacja/renault-1-3-tce-mhev-iconic-aut-1-3-tce-160km-mhev-at-iconic/ob/30719269,Renault 1.3 TCe mHEV Iconic aut 1.3 TCe 160KM mHEV AT Iconic!,NaN,1332 cm3,2023,benzyna,191 900zł
https://gratka.pl/motoryzacja/renault-1-3-tce-mhev-iconic-aut-1-3-tce-160km-mhev-at-iconic/ob/30719137,Renault 1.3 TCe mHEV Iconic aut 1.3 TCe 160KM mHEV AT Iconic!,NaN,1332 cm3,2023,benzyna,191 900zł
https://gratka.pl/motoryzacja/renault-1-3-tce-mhev-iconic-aut-1-3-tce-mhev-160km-at-iconic/ob/30719019,Renault 1.3 TCe mHEV Iconic aut 1.3 TCe mHEV 160KM AT Iconic!,NaN,1332 cm3,2023,benzyna,195 600zł
https://gratka.pl/motoryzacja/renault-koleos-2-0-blue-dci-initiale-paris-4x4-x-tronic-2-0-blue-dci-185km-4x4-x-tr/ob/30719011,Renault Koleos 2.0 Blue dCi Initiale Paris 4x4 X-Tronic 2.0 Blue dCi 185KM 4x4 X-Tr,NaN,1995 cm3,2023,diesel,199 500zł
https://gratka.pl/motoryzacja/renault-captur-1-3-tce-mhev-r-s-line-1-3-tce-mhev-r-s-line-1-3-tce-140km/ob/30718997,Renault Captur 1.3 TCe mHEV R.S. Line 1.3 TCe mHEV R.S. Line 1.3 TCe 140KM,NaN,1332 cm3,2023,benzyna,120 500zł
https://gratka.pl/motoryzacja/renault-captur-1-0-tce-techno-1-0-tce-techno-90km/ob/30718985,Renault Captur 1.0 TCe Techno 1.0 TCe Techno 90KM,NaN,999 cm3,2023,benzyna,99 300zł
https://gratka.pl/motoryzacja/renault-captur-1-3-tce-mhev-techno-edc-1-3-tce-mhev-techno-edc-140km/ob/30718975,Renault Captur 1.3 TCe mHEV Techno EDC 1.3 TCe mHEV Techno EDC 140KM,NaN,1332 cm3,2023,benzyna,123 200zł
https://gratka.pl/motoryzacja/renault-captur-1-0-tce-techno-lpg-techno-1-0-tce-100km-lpg/ob/30718967,Renault Captur 1.0 TCe Techno LPG Techno 1.0 TCe 100KM LPG,NaN,999 cm3,2023,benzyna + gaz,106 300zł
https://gratka.pl/motoryzacja/renault-koleos-2-0-blue-dci-initiale-paris-4x4-x-tronic-2-0-blue-dci-185km-4x4-x-tr/ob/30718947,Renault Koleos 2.0 Blue dCi Initiale Paris 4x4 X-Tronic 2.0 Blue dCi 185KM 4x4 X-Tr,NaN,1995 cm3,2023,diesel,199 500zł
https://gratka.pl/motoryzacja/renault-captur-1-0-tce-equilibre-lpg-equilibre-1-0-tce-100km-lpg-mt/ob/30718931,Renault Captur 1.0 TCe Equilibre LPG Equilibre 1.0 TCe 100KM LPG MT,NaN,999 cm3,2023,benzyna + gaz,94 800zł
https://gratka.pl/motoryzacja/renault-koleos-1-3-tce-initiale-paris-edc-1-3-tce-160km-edc-initiale-paris/ob/30718925,Renault Koleos 1.3 TCe Initiale Paris EDC 1.3 TCe 160KM EDC Initiale Paris!,NaN,1332 cm3,2023,benzyna,176 600zł
https://gratka.pl/motoryzacja/renault-clio-v-1-6-e-tech-r-s-line-1-6-e-tech-r-s-line-145km/ob/30718909,Renault Clio V 1.6 E-TECH R.S. Line 1.6 E-TECH R.S. Line 145KM,NaN,1598 cm3,2022,technologia hybrydowa,112 800zł
https://gratka.pl/motoryzacja/cupra-2-0-tsi-4drive-dsg-2-0tsi-190km-dsg-pakiet-wspomagania-l/ob/30718903,Cupra 2.0 TSI 4Drive DSG 2.0TSI 190KM DSG | Pakiet wspomagania L |,NaN,1984 cm3,2023,benzyna,180 759zł
https://gratka.pl/motoryzacja/renault-clio-v-1-3-tce-r-s-line-1-3-tce-r-s-line-140km/ob/30717345,Renault Clio V 1.3 TCe R.S. Line 1.3 TCe R.S. Line 140KM,NaN,1332 cm3,2022,benzyna,110 400zł
https://gratka.pl/motoryzacja/renault-clio-v-1-0-tce-techno-lpg-1-0-tce-techno-lpg-100km/ob/30717337,Renault Clio V 1.0 TCe Techno LPG 1.0 TCe Techno LPG 100KM,NaN,999 cm3,2022,benzyna + gaz,88 400zł
https://gratka.pl/motoryzacja/renault-clio-v-1-0-tce-techno-lpg-1-0-tce-techno-lpg-100km/ob/30717325,Renault Clio V 1.0 TCe Techno LPG 1.0 TCe Techno LPG 100KM,NaN,999 cm3,2023,benzyna + gaz,92 100zł
https://gratka.pl/motoryzacja/renault-clio-v-1-0-tce-techno-lpg-1-0-tce-techno-lpg-100km/ob/30717315,Renault Clio V 1.0 TCe Techno LPG 1.0 TCe Techno LPG 100KM,NaN,999 cm3,2023,benzyna + gaz,88 700zł
https://gratka.pl/motoryzacja/renault-clio-v-1-0-tce-techno-lpg-1-0-tce-techno-lpg-100km/ob/30717305,Renault Clio V 1.0 TCe Techno LPG 1.0 TCe Techno LPG 100KM,NaN,999 cm3,2023,benzyna + gaz,87 900zł
https://gratka.pl/motoryzacja/renault-megane-iv-1-3-tce-fap-r-s-line-edc-1-3-tce-fap-r-s-line-edc-160km/ob/30717301,Renault Megane IV 1.3 TCe FAP R.S. Line EDC 1.3 TCe FAP R.S. Line EDC 160KM,NaN,1332 cm3,2023,benzyna,137 550zł
https://gratka.pl/motoryzacja/renault-koleos-2-0-blue-dci-initiale-paris-4x4-x-tronic-2-0-blue-dci-initiale-paris/ob/30717297,Renault Koleos 2.0 Blue dCi Initiale Paris 4x4 X-Tronic 2.0 Blue dCi Initiale Paris,NaN,1995 cm3,2023,diesel,205 600zł
https://gratka.pl/motoryzacja/renault-megane-iv-ev60-techno-ev60-techno-220km/ob/30717289,Renault Megane IV EV60 Techno EV60 Techno 220KM,NaN,NaN,2023,napęd elektryczny,224 800zł
https://gratka.pl/motoryzacja/renault-1-3-tce-mhev-techno-aut-1-3-tce-mhev-techno-aut-160km/ob/30717277,Renault 1.3 TCe mHEV Techno aut 1.3 TCe mHEV Techno aut 160KM,NaN,1332 cm3,2023,benzyna,169 400zł
https://gratka.pl/motoryzacja/renault-megane-iv-1-3-tce-fap-techno-edc-1-3-tce-fap-techno-edc-140km/ob/30717167,Renault Megane IV 1.3 TCe FAP Techno EDC 1.3 TCe FAP Techno EDC 140KM,NaN,1332 cm3,2023,benzyna,123 000zł
https://gratka.pl/motoryzacja/renault-captur-1-3-tce-mhev-techno-edc-1-3-tce-140km-edc-techno/ob/30717057,Renault Captur 1.3 TCe mHEV Techno EDC 1.3 TCe 140KM EDC Techno!,NaN,1332 cm3,2023,benzyna,125 500zł
https://gratka.pl/motoryzacja/renault-captur-1-3-tce-mhev-techno-edc-1-3-tce-140km-edc-techno/ob/30717013,Renault Captur 1.3 TCe mHEV Techno EDC 1.3 TCe 140KM EDC Techno!,NaN,1332 cm3,2023,benzyna,117 700zł
https://gratka.pl/motoryzacja/renault-arkana-1-6-e-tech-techno-mmt-1-6-e-tech-145km-mmt-techno/ob/30717003,Renault Arkana 1.6 E-TECH Techno MMT 1.6 E-TECH 145KM MMT Techno!,NaN,1598 cm3,2022,technologia hybrydowa,148 390zł
https://gratka.pl/motoryzacja/renault-arkana-1-6-e-tech-techno-mmt-1-6-e-tech-145km-mmt-techno/ob/30716997,Renault Arkana 1.6 E-TECH Techno MMT 1.6 E-TECH 145KM MMT Techno!,6000,1598 cm3,2022,technologia hybrydowa,138 900zł
https://gratka.pl/motoryzacja/renault-arkana-1-3-tce-mhev-intens-edc-1-3-tce-140km-edc-intens/ob/30716983,Renault Arkana 1.3 TCe mHEV Intens EDC 1.3 TCe 140KM EDC Intens!,1800,1332 cm3,2022,benzyna,138 900zł
https://gratka.pl/motoryzacja/renault-koleos-2-0-blue-dci-initiale-paris-4x4-x-tronic-2-0-blue-dci-185km-x-tronic/ob/30716971,Renault Koleos 2.0 Blue dCi Initiale Paris 4x4 X-Tronic 2.0 Blue dCi 185KM X-Tronic,NaN,1995 cm3,2022,diesel,185 000zł
https://gratka.pl/motoryzacja/renault-megane-iv-1-5-blue-dci-techno-1-5-blue-dci-115km-techno/ob/30716959,Renault Megane IV 1.5 Blue dCi Techno 1.5 Blue dCi 115KM Techno!,NaN,1461 cm3,2022,diesel,110 000zł
https://gratka.pl/motoryzacja/renault-megane-iv-1-3-tce-fap-equilibre-1-3-tce-140km-equilibre/ob/30716949,Renault Megane IV 1.3 TCe FAP Equilibre 1.3 TCe 140KM Equilibre!,NaN,1332 cm3,2023,benzyna,101 000zł
https://gratka.pl/motoryzacja/volvo-p6-recharge-core-recharge-core-231km/ob/30716643,Volvo P6 Recharge Core Recharge Core (231KM),NaN,NaN,2022,napęd elektryczny,222 900zł
https://gratka.pl/motoryzacja/volvo-xc60-ii-b4-d-core-2-0-211km-climate/ob/30716617,Volvo XC60 II B4 D Core 2.0 (211KM) | Climate,NaN,1969 cm3,2023,diesel,212 400zł
https://gratka.pl/motoryzacja/cupra-1-5-tsi-mt-formentor-1-5-tsi-mt-150km-comfort/ob/30716605,Cupra 1.5 TSI MT Formentor 1.5 TSI MT 150KM | Comfort + |,NaN,1498 cm3,2023,benzyna,142 104zł
https://gratka.pl/motoryzacja/volvo-recharge-twin-ultimate-c40-recharge-twin-ultimate-408km-climate/ob/30716597,Volvo Recharge Twin Ultimate C40 Recharge Twin Ultimate (408KM) | Climate,NaN,NaN,2023,napęd elektryczny,316 650zł
https://gratka.pl/motoryzacja/audi-a4-8w-40-tdi-quattro-advanced-2-0-204km-pakiet-comfort/ob/30716577,Audi A4 8W 40 TDI Quattro Advanced 2.0 (204KM) | Pakiet Comfort,NaN,1968 cm3,2023,diesel,206 700zł
https://gratka.pl/motoryzacja/seat-ateca-style-style-1-5-tsi-150km-dsg-comfort-pakiet-zimowy/ob/30716231,SEAT Ateca Style Style 1.5 TSI 150KM DSG | Comfort + | Pakiet Zimowy |,NaN,1498 cm3,2023,benzyna,140 000zł
https://gratka.pl/motoryzacja/seat-ateca-style-style-1-5-tsi-150km-dsg-comfort-pakiet-zimowy/ob/30716213,SEAT Ateca Style Style 1.5 TSI 150KM DSG | Comfort + | Pakiet Zimowy |,NaN,1498 cm3,2023,benzyna,140 000zł
https://gratka.pl/motoryzacja/cupra-2-0-tsi-4drive-vz-dsg-formentor-2-0-tsi-310km-dsg-4drive/ob/30716181,Cupra 2.0 TSI 4Drive VZ DSG Formentor 2.0 TSI 310KM DSG 4Drive,2700,1984 cm3,2020,benzyna,214 000zł
https://gratka.pl/motoryzacja/cupra-58kwh-e-boost-e-boost-58kwh-231km-pakiet-protect/ob/30716153,Cupra 58kWh E-Boost E-Boost 58kWh 231KM|Pakiet Protect,NaN,NaN,2022,napęd elektryczny,222 900zł
https://gratka.pl/motoryzacja/volvo-p6-recharge-plus-c40-p6-recharge-plus-231km-pakiet-climate/ob/30716151,Volvo P6 Recharge Plus C40 P6 Recharge Plus (231KM) | Pakiet Climate,NaN,NaN,2023,napęd elektryczny,247 000zł
https://gratka.pl/motoryzacja/cupra-58kwh-58kwh-204km-beats-audio/ob/30716127,Cupra 58kWh 58kWh 204KM|Beats Audio,NaN,NaN,2022,napęd elektryczny,197 536zł
https://gratka.pl/motoryzacja/toyota-1-0-vvt-i-comfort-cvt-comfort-1-0-vvt-i-72-km-multidrive-s-felgi-1/ob/30716117,Toyota 1.0 VVT-i Comfort CVT Comfort 1.0 VVT-i 72 KM Multidrive S + Felgi 1,NaN,998 cm3,2023,benzyna,77 900zł
https://gratka.pl/motoryzacja/cupra-ateca-ateca-2-0-tsi-300km-dsg-4drive/ob/30716113,Cupra Ateca Ateca 2.0 TSI 300KM DSG 4Drive,NaN,1984 cm3,2022,benzyna,219 900zł
https://gratka.pl/motoryzacja/toyota-corolla-xii-1-5-comfort-comfort-1-5-vvt-i-125km-6-m-t-kamera-cofania-felgi-16/ob/30716103,Toyota Corolla XII 1.5 Comfort Comfort 1.5 VVT-i 125KM 6 M/T + Kamera Cofania+Felgi 16,NaN,1490 cm3,2022,benzyna,95 400zł
https://gratka.pl/motoryzacja/cupra-58kwh-born-58kwh-204km-panorama/ob/30716101,Cupra 58kWh Born 58kWh 204KM | PANORAMA |,NaN,NaN,2022,napęd elektryczny,220 605zł
https://gratka.pl/motoryzacja/cupra-2-0-tsi-4drive-vz-dsg-formentor-vz-2-0-tsi-4drive-310km-dsg/ob/30716063,Cupra 2.0 TSI 4Drive VZ DSG Formentor VZ 2.0 TSI 4Drive 310KM DSG,NaN,1984 cm3,2023,benzyna,234 000zł
https://gratka.pl/motoryzacja/cupra-vz-formentor-vz-2-0-tsi-4drive-310km-dsg/ob/30716059,Cupra VZ Formentor VZ 2.0 TSI 4Drive 310KM DSG,NaN,1984 cm3,2023,benzyna,225 280zł
https://gratka.pl/motoryzacja/cupra-58kwh-e-boost-born-58kwh-e-boost-231km/ob/30715939,Cupra 58kWh E-Boost Born 58kWh E-Boost 231KM,NaN,NaN,2022,napęd elektryczny,205 225zł
https://gratka.pl/motoryzacja/cupra-1-5-tsi-dsg-formentor-1-5-tsi-150km-dsg/ob/30715877,Cupra 1.5 TSI DSG Formentor 1.5 TSI 150KM DSG,NaN,1498 cm3,2023,benzyna,154 975zł
https://gratka.pl/motoryzacja/cupra-1-5-tsi-dsg-formentor-1-5-tsi-150km-dsg/ob/30715849,Cupra 1.5 TSI DSG Formentor 1.5 TSI 150KM DSG,NaN,1498 cm3,2023,benzyna,154 655zł
https://gratka.pl/motoryzacja/cupra-1-5-tsi-dsg-formentor-1-5-tsi-150km-dsg/ob/30715837,Cupra 1.5 TSI DSG Formentor 1.5 TSI 150KM DSG,NaN,1498 cm3,2023,benzyna,157 113zł
https://gratka.pl/motoryzacja/toyota-yaris-iii-hybrid-1-5-comfort-comfort-1-5-hybrid-116km-e-cvt-kamera-cofania-f/ob/30715825,Toyota Yaris III Hybrid 1.5 Comfort Comfort 1.5 Hybrid 116KM e-CVT + Kamera Cofania+F,NaN,1497 cm3,2023,technologia hybrydowa,94 491zł
https://gratka.pl/motoryzacja/cupra-2-0-tsi-4drive-vz-dsg-formentor-2-0-tsi-4drive-vz-dsg-310km/ob/30715819,Cupra 2.0 TSI 4Drive VZ DSG Formentor 2.0 TSI 4Drive VZ DSG 310KM,NaN,1984 cm3,2023,benzyna,228 300zł
https://gratka.pl/motoryzacja/toyota-yaris-iii-comfort-comfort-1-5-hybrid-116km-e-cvt-pakiet-style-tech/ob/30715809,Toyota Yaris III Comfort Comfort 1.5 Hybrid 116KM e-CVT + Pakiet Style+Tech,NaN,1497 cm3,2023,technologia hybrydowa,107 000zł
https://gratka.pl/motoryzacja/cupra-1-5-tsi-formentor-1-5-tsi-150km-dsg/ob/30715797,Cupra 1.5 TSI Formentor 1.5 TSI 150KM DSG,NaN,1498 cm3,2023,benzyna,155 500zł
https://gratka.pl/motoryzacja/cupra-1-5-tsi-formentor-1-5-tsi-150km-dsg/ob/30715773,Cupra 1.5 TSI Formentor 1.5 TSI 150KM DSG,NaN,1498 cm3,2023,benzyna,155 500zł
https://gratka.pl/motoryzacja/toyota-comfort-comfort-1-0-vvt-i-72-km-5m-t-kamera-cofania-felgi-17-bluetoo/ob/30715769,Toyota Comfort Comfort 1.0 VVT-i 72 KM 5M/T Kamera Cofania+Felgi 17+Bluetoo,NaN,998 cm3,2023,benzyna,72 900zł
https://gratka.pl/motoryzacja/toyota-corolla-xii-comfort-comfort-1-5-vvt-i-125km-6-m-t-pakiet-style-pakiet-tech/ob/30715705,Toyota Corolla XII Comfort Comfort 1.5 VVT-i 125KM 6 M/T + Pakiet Style+Pakiet Tech,NaN,1490 cm3,2022,benzyna,104 900zł
